"","X","PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","lat","long"
"45",45,45,1,"3","Devaney, Miss. Margaret Delia","female",19,0,0,"330958",7.8792,"","Q",-45.02,168.4
"46",46,46,0,"3","Rogers, Mr. William John","male",29.6420927,0,0,"S.C./A.4. 23567",8.05,"","S",50.55,1.25
"47",47,47,0,"3","Lennon, Mr. Denis","male",29.6420927,1,0,"370371",15.5,"","Q",-45.02,168.4
"48",48,48,1,"3","O'Driscoll, Miss. Bridget","female",29.6420927,0,0,"14311",7.75,"","Q",-45.02,168.4
"49",49,49,0,"3","Samaan, Mr. Youssef","male",29.6420927,2,0,"2662",21.6792,"","C",49.39,1.38
"50",50,50,0,"3","Arnold-Franchi, Mrs. Josef (Josefine Franchi)","female",18,1,0,"349237",17.8,"","S",50.55,1.25
"51",51,51,0,"3","Panula, Master. Juha Niilo","male",7,4,1,"3101295",39.6875,"","S",50.55,1.25
"52",52,52,0,"3","Nosworthy, Mr. Richard Cater","male",21,0,0,"A/4. 39886",7.8,"","S",50.55,1.25
"53",53,53,1,"1","Harper, Mrs. Henry Sleeper (Myna Haxtun)","female",49,1,0,"PC 17572",76.7292,"D33","C",49.39,1.38
"54",54,54,1,"2","Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)","female",29,1,0,"2926",26,"","S",50.55,1.25
"55",55,55,0,"1","Ostby, Mr. Engelhart Cornelius","male",65,0,1,"113509",61.9792,"B30","C",49.39,1.38
"56",56,56,1,"1","Woolner, Mr. Hugh","male",29.6420927,0,0,"19947",35.5,"C52","S",50.55,1.25
"57",57,57,1,"2","Rugg, Miss. Emily","female",21,0,0,"C.A. 31026",10.5,"","S",50.55,1.25
"58",58,58,0,"3","Novel, Mr. Mansouer","male",28.5,0,0,"2697",7.2292,"","C",49.39,1.38
"59",59,59,1,"2","West, Miss. Constance Mirium","female",5,1,2,"C.A. 34651",27.75,"","S",50.55,1.25
"60",60,60,0,"3","Goodwin, Master. William Frederick","male",11,5,2,"CA 2144",46.9,"","S",50.55,1.25
"61",61,61,0,"3","Sirayanian, Mr. Orsen","male",22,0,0,"2669",7.2292,"","C",49.39,1.38
"62",62,63,0,"1","Harris, Mr. Henry Birkhardt","male",45,1,0,"36973",83.475,"C83","S",50.55,1.25
"63",63,64,0,"3","Skoog, Master. Harald","male",4,3,2,"347088",27.9,"","S",50.55,1.25
"64",64,65,0,"1","Stewart, Mr. Albert A","male",29.6420927,0,0,"PC 17605",27.7208,"","C",49.39,1.38
"65",65,66,1,"3","Moubarek, Master. Gerios","male",29.6420927,1,1,"2661",15.2458,"","C",49.39,1.38
"66",66,67,1,"2","Nye, Mrs. (Elizabeth Ramell)","female",29,0,0,"C.A. 29395",10.5,"F33","S",50.55,1.25
"67",67,68,0,"3","Crease, Mr. Ernest James","male",19,0,0,"S.P. 3464",8.1583,"","S",50.55,1.25
"68",68,69,1,"3","Andersson, Miss. Erna Alexandra","female",17,4,2,"3101281",7.925,"","S",50.55,1.25
"69",69,70,0,"3","Kink, Mr. Vincenz","male",26,2,0,"315151",8.6625,"","S",50.55,1.25
"70",70,71,0,"2","Jenkin, Mr. Stephen Curnow","male",32,0,0,"C.A. 33111",10.5,"","S",50.55,1.25
"71",71,72,0,"3","Goodwin, Miss. Lillian Amy","female",16,5,2,"CA 2144",46.9,"","S",50.55,1.25
"72",72,73,0,"2","Hood, Mr. Ambrose Jr","male",21,0,0,"S.O.C. 14879",73.5,"","S",50.55,1.25
"73",73,74,0,"3","Chronopoulos, Mr. Apostolos","male",26,1,0,"2680",14.4542,"","C",49.39,1.38
"74",74,75,1,"3","Bing, Mr. Lee","male",32,0,0,"1601",56.4958,"","S",50.55,1.25
"75",75,76,0,"3","Moen, Mr. Sigurd Hansen","male",25,0,0,"348123",7.65,"F G73","S",50.55,1.25
"76",76,77,0,"3","Staneff, Mr. Ivan","male",29.6420927,0,0,"349208",7.8958,"","S",50.55,1.25
"77",77,78,0,"3","Moutal, Mr. Rahamin Haim","male",29.6420927,0,0,"374746",8.05,"","S",50.55,1.25
"78",78,79,1,"2","Caldwell, Master. Alden Gates","male",0.83,0,2,"248738",29,"","S",50.55,1.25
"79",79,80,1,"3","Dowdell, Miss. Elizabeth","female",30,0,0,"364516",12.475,"","S",50.55,1.25
"80",80,81,0,"3","Waelens, Mr. Achille","male",22,0,0,"345767",9,"","S",50.55,1.25
"81",81,82,1,"3","Sheerlinck, Mr. Jan Baptist","male",29,0,0,"345779",9.5,"","S",50.55,1.25
"82",82,83,1,"3","McDermott, Miss. Brigdet Delia","female",29.6420927,0,0,"330932",7.7875,"","Q",-45.02,168.4
"83",83,84,0,"1","Carrau, Mr. Francisco M","male",28,0,0,"113059",47.1,"","S",50.55,1.25
"84",84,85,1,"2","Ilett, Miss. Bertha","female",17,0,0,"SO/C 14885",10.5,"","S",50.55,1.25
"85",85,86,1,"3","Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)","female",33,3,0,"3101278",15.85,"","S",50.55,1.25
"86",86,87,0,"3","Ford, Mr. William Neal","male",16,1,3,"W./C. 6608",34.375,"","S",50.55,1.25
"87",87,88,0,"3","Slocovski, Mr. Selman Francis","male",29.6420927,0,0,"SOTON/OQ 392086",8.05,"","S",50.55,1.25
"88",88,89,1,"1","Fortune, Miss. Mabel Helen","female",23,3,2,"19950",263,"C23 C25 C27","S",50.55,1.25
"89",89,90,0,"3","Celotti, Mr. Francesco","male",24,0,0,"343275",8.05,"","S",50.55,1.25
"90",90,91,0,"3","Christmann, Mr. Emil","male",29,0,0,"343276",8.05,"","S",50.55,1.25
"91",91,92,0,"3","Andreasson, Mr. Paul Edvin","male",20,0,0,"347466",7.8542,"","S",50.55,1.25
"92",92,93,0,"1","Chaffee, Mr. Herbert Fuller","male",46,1,0,"W.E.P. 5734",61.175,"E31","S",50.55,1.25
"93",93,94,0,"3","Dean, Mr. Bertram Frank","male",26,1,2,"C.A. 2315",20.575,"","S",50.55,1.25
"94",94,95,0,"3","Coxon, Mr. Daniel","male",59,0,0,"364500",7.25,"","S",50.55,1.25
"95",95,96,0,"3","Shorney, Mr. Charles Joseph","male",29.6420927,0,0,"374910",8.05,"","S",50.55,1.25
"96",96,97,0,"1","Goldschmidt, Mr. George B","male",71,0,0,"PC 17754",34.6542,"A5","C",49.39,1.38
"97",97,98,1,"1","Greenfield, Mr. William Bertram","male",23,0,1,"PC 17759",63.3583,"D10 D12","C",49.39,1.38
"98",98,99,1,"2","Doling, Mrs. John T (Ada Julia Bone)","female",34,0,1,"231919",23,"","S",50.55,1.25
"99",99,100,0,"2","Kantor, Mr. Sinai","male",34,1,0,"244367",26,"","S",50.55,1.25
"100",100,101,0,"3","Petranec, Miss. Matilda","female",28,0,0,"349245",7.8958,"","S",50.55,1.25
"101",101,102,0,"3","Petroff, Mr. Pastcho (""Pentcho"")","male",29.6420927,0,0,"349215",7.8958,"","S",50.55,1.25
"102",102,103,0,"1","White, Mr. Richard Frasar","male",21,0,1,"35281",77.2875,"D26","S",50.55,1.25
"103",103,104,0,"3","Johansson, Mr. Gustaf Joel","male",33,0,0,"7540",8.6542,"","S",50.55,1.25
"104",104,105,0,"3","Gustafsson, Mr. Anders Vilhelm","male",37,2,0,"3101276",7.925,"","S",50.55,1.25
"105",105,106,0,"3","Mionoff, Mr. Stoytcho","male",28,0,0,"349207",7.8958,"","S",50.55,1.25
"106",106,107,1,"3","Salkjelsvik, Miss. Anna Kristine","female",21,0,0,"343120",7.65,"","S",50.55,1.25
"107",107,108,1,"3","Moss, Mr. Albert Johan","male",29.6420927,0,0,"312991",7.775,"","S",50.55,1.25
"108",108,109,0,"3","Rekic, Mr. Tido","male",38,0,0,"349249",7.8958,"","S",50.55,1.25
"109",109,110,1,"3","Moran, Miss. Bertha","female",29.6420927,1,0,"371110",24.15,"","Q",-45.02,168.4
"110",110,111,0,"1","Porter, Mr. Walter Chamberlain","male",47,0,0,"110465",52,"C110","S",50.55,1.25
"111",111,112,0,"3","Zabour, Miss. Hileni","female",14.5,1,0,"2665",14.4542,"","C",49.39,1.38
"112",112,113,0,"3","Barton, Mr. David John","male",22,0,0,"324669",8.05,"","S",50.55,1.25
"113",113,114,0,"3","Jussila, Miss. Katriina","female",20,1,0,"4136",9.825,"","S",50.55,1.25
"114",114,115,0,"3","Attalah, Miss. Malake","female",17,0,0,"2627",14.4583,"","C",49.39,1.38
"115",115,116,0,"3","Pekoniemi, Mr. Edvard","male",21,0,0,"STON/O 2. 3101294",7.925,"","S",50.55,1.25
"116",116,117,0,"3","Connors, Mr. Patrick","male",70.5,0,0,"370369",7.75,"","Q",-45.02,168.4
"117",117,118,0,"2","Turpin, Mr. William John Robert","male",29,1,0,"11668",21,"","S",50.55,1.25
"118",118,119,0,"1","Baxter, Mr. Quigg Edmond","male",24,0,1,"PC 17558",247.5208,"B58 B60","C",49.39,1.38
"119",119,120,0,"3","Andersson, Miss. Ellis Anna Maria","female",2,4,2,"347082",31.275,"","S",50.55,1.25
"120",120,121,0,"2","Hickman, Mr. Stanley George","male",21,2,0,"S.O.C. 14879",73.5,"","S",50.55,1.25
"121",121,122,0,"3","Moore, Mr. Leonard Charles","male",29.6420927,0,0,"A4. 54510",8.05,"","S",50.55,1.25
"122",122,123,0,"2","Nasser, Mr. Nicholas","male",32.5,1,0,"237736",30.0708,"","C",49.39,1.38
"123",123,124,1,"2","Webber, Miss. Susan","female",32.5,0,0,"27267",13,"E101","S",50.55,1.25
"124",124,125,0,"1","White, Mr. Percival Wayland","male",54,0,1,"35281",77.2875,"D26","S",50.55,1.25
"125",125,126,1,"3","Nicola-Yarred, Master. Elias","male",12,1,0,"2651",11.2417,"","C",49.39,1.38
"126",126,127,0,"3","McMahon, Mr. Martin","male",29.6420927,0,0,"370372",7.75,"","Q",-45.02,168.4
"127",127,128,1,"3","Madsen, Mr. Fridtjof Arne","male",24,0,0,"C 17369",7.1417,"","S",50.55,1.25
"128",128,129,1,"3","Peter, Miss. Anna","female",29.6420927,1,1,"2668",22.3583,"F E69","C",49.39,1.38
"129",129,130,0,"3","Ekstrom, Mr. Johan","male",45,0,0,"347061",6.975,"","S",50.55,1.25
"130",130,131,0,"3","Drazenoic, Mr. Jozef","male",33,0,0,"349241",7.8958,"","C",49.39,1.38
"131",131,132,0,"3","Coelho, Mr. Domingos Fernandeo","male",20,0,0,"SOTON/O.Q. 3101307",7.05,"","S",50.55,1.25
"132",132,133,0,"3","Robins, Mrs. Alexander A (Grace Charity Laury)","female",47,1,0,"A/5. 3337",14.5,"","S",50.55,1.25
"133",133,134,1,"2","Weisz, Mrs. Leopold (Mathilde Francoise Pede)","female",29,1,0,"228414",26,"","S",50.55,1.25
"134",134,135,0,"2","Sobey, Mr. Samuel James Hayden","male",25,0,0,"C.A. 29178",13,"","S",50.55,1.25
"135",135,136,0,"2","Richard, Mr. Emile","male",23,0,0,"SC/PARIS 2133",15.0458,"","C",49.39,1.38
"136",136,137,1,"1","Newsom, Miss. Helen Monypeny","female",19,0,2,"11752",26.2833,"D47","S",50.55,1.25
"137",137,138,0,"1","Futrelle, Mr. Jacques Heath","male",37,1,0,"113803",53.1,"C123","S",50.55,1.25
"138",138,139,0,"3","Osen, Mr. Olaf Elon","male",16,0,0,"7534",9.2167,"","S",50.55,1.25
"139",139,140,0,"1","Giglio, Mr. Victor","male",24,0,0,"PC 17593",79.2,"B86","C",49.39,1.38
"140",140,141,0,"3","Boulos, Mrs. Joseph (Sultana)","female",29.6420927,0,2,"2678",15.2458,"","C",49.39,1.38
"141",141,142,1,"3","Nysten, Miss. Anna Sofia","female",22,0,0,"347081",7.75,"","S",50.55,1.25
"142",142,143,1,"3","Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)","female",24,1,0,"STON/O2. 3101279",15.85,"","S",50.55,1.25
"143",143,144,0,"3","Burke, Mr. Jeremiah","male",19,0,0,"365222",6.75,"","Q",-45.02,168.4
"144",144,145,0,"2","Andrew, Mr. Edgardo Samuel","male",18,0,0,"231945",11.5,"","S",50.55,1.25
"145",145,146,0,"2","Nicholls, Mr. Joseph Charles","male",19,1,1,"C.A. 33112",36.75,"","S",50.55,1.25
"146",146,147,1,"3","Andersson, Mr. August Edvard (""Wennerstrom"")","male",27,0,0,"350043",7.7958,"","S",50.55,1.25
"147",147,148,0,"3","Ford, Miss. Robina Maggie ""Ruby""","female",9,2,2,"W./C. 6608",34.375,"","S",50.55,1.25
"148",148,149,0,"2","Navratil, Mr. Michel (""Louis M Hoffman"")","male",36.5,0,2,"230080",26,"F2","S",50.55,1.25
"149",149,150,0,"2","Byles, Rev. Thomas Roussel Davids","male",42,0,0,"244310",13,"","S",50.55,1.25
"150",150,151,0,"2","Bateman, Rev. Robert James","male",51,0,0,"S.O.P. 1166",12.525,"","S",50.55,1.25
"151",151,152,1,"1","Pears, Mrs. Thomas (Edith Wearne)","female",22,1,0,"113776",66.6,"C2","S",50.55,1.25
"152",152,153,0,"3","Meo, Mr. Alfonzo","male",55.5,0,0,"A.5. 11206",8.05,"","S",50.55,1.25
"153",153,154,0,"3","van Billiard, Mr. Austin Blyler","male",40.5,0,2,"A/5. 851",14.5,"","S",50.55,1.25
"154",154,155,0,"3","Olsen, Mr. Ole Martin","male",29.6420927,0,0,"Fa 265302",7.3125,"","S",50.55,1.25
"155",155,156,0,"1","Williams, Mr. Charles Duane","male",51,0,1,"PC 17597",61.3792,"","C",49.39,1.38
"156",156,157,1,"3","Gilnagh, Miss. Katherine ""Katie""","female",16,0,0,"35851",7.7333,"","Q",-45.02,168.4
"157",157,158,0,"3","Corn, Mr. Harry","male",30,0,0,"SOTON/OQ 392090",8.05,"","S",50.55,1.25
"158",158,159,0,"3","Smiljanic, Mr. Mile","male",29.6420927,0,0,"315037",8.6625,"","S",50.55,1.25
"159",159,160,0,"3","Sage, Master. Thomas Henry","male",29.6420927,8,2,"CA. 2343",69.55,"","S",50.55,1.25
"160",160,161,0,"3","Cribb, Mr. John Hatfield","male",44,0,1,"371362",16.1,"","S",50.55,1.25
"161",161,162,1,"2","Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)","female",40,0,0,"C.A. 33595",15.75,"","S",50.55,1.25
"162",162,163,0,"3","Bengtsson, Mr. John Viktor","male",26,0,0,"347068",7.775,"","S",50.55,1.25
"163",163,164,0,"3","Calic, Mr. Jovo","male",17,0,0,"315093",8.6625,"","S",50.55,1.25
"164",164,165,0,"3","Panula, Master. Eino Viljami","male",1,4,1,"3101295",39.6875,"","S",50.55,1.25
"165",165,166,1,"3","Goldsmith, Master. Frank John William ""Frankie""","male",9,0,2,"363291",20.525,"","S",50.55,1.25
"166",166,167,1,"1","Chibnall, Mrs. (Edith Martha Bowerman)","female",29.6420927,0,1,"113505",55,"E33","S",50.55,1.25
"167",167,168,0,"3","Skoog, Mrs. William (Anna Bernhardina Karlsson)","female",45,1,4,"347088",27.9,"","S",50.55,1.25
"168",168,169,0,"1","Baumann, Mr. John D","male",29.6420927,0,0,"PC 17318",25.925,"","S",50.55,1.25
"169",169,170,0,"3","Ling, Mr. Lee","male",28,0,0,"1601",56.4958,"","S",50.55,1.25
"170",170,171,0,"1","Van der hoef, Mr. Wyckoff","male",61,0,0,"111240",33.5,"B19","S",50.55,1.25
"171",171,172,0,"3","Rice, Master. Arthur","male",4,4,1,"382652",29.125,"","Q",-45.02,168.4
"172",172,173,1,"3","Johnson, Miss. Eleanor Ileen","female",1,1,1,"347742",11.1333,"","S",50.55,1.25
"173",173,174,0,"3","Sivola, Mr. Antti Wilhelm","male",21,0,0,"STON/O 2. 3101280",7.925,"","S",50.55,1.25
"174",174,175,0,"1","Smith, Mr. James Clinch","male",56,0,0,"17764",30.6958,"A7","C",49.39,1.38
"175",175,176,0,"3","Klasen, Mr. Klas Albin","male",18,1,1,"350404",7.8542,"","S",50.55,1.25
"176",176,177,0,"3","Lefebre, Master. Henry Forbes","male",29.6420927,3,1,"4133",25.4667,"","S",50.55,1.25
"177",177,178,0,"1","Isham, Miss. Ann Elizabeth","female",50,0,0,"PC 17595",28.7125,"C49","C",49.39,1.38
"178",178,179,0,"2","Hale, Mr. Reginald","male",30,0,0,"250653",13,"","S",50.55,1.25
"179",179,180,0,"3","Leonard, Mr. Lionel","male",36,0,0,"LINE",0,"","S",50.55,1.25
"180",180,181,0,"3","Sage, Miss. Constance Gladys","female",29.6420927,8,2,"CA. 2343",69.55,"","S",50.55,1.25
"181",181,182,0,"2","Pernot, Mr. Rene","male",29.6420927,0,0,"SC/PARIS 2131",15.05,"","C",49.39,1.38
"182",182,183,0,"3","Asplund, Master. Clarence Gustaf Hugo","male",9,4,2,"347077",31.3875,"","S",50.55,1.25
"183",183,184,1,"2","Becker, Master. Richard F","male",1,2,1,"230136",39,"F4","S",50.55,1.25
"184",184,185,1,"3","Kink-Heilmann, Miss. Luise Gretchen","female",4,0,2,"315153",22.025,"","S",50.55,1.25
"185",185,186,0,"1","Rood, Mr. Hugh Roscoe","male",29.6420927,0,0,"113767",50,"A32","S",50.55,1.25
"186",186,187,1,"3","O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)","female",29.6420927,1,0,"370365",15.5,"","Q",-45.02,168.4
"187",187,188,1,"1","Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","male",45,0,0,"111428",26.55,"","S",50.55,1.25
"188",188,189,0,"3","Bourke, Mr. John","male",40,1,1,"364849",15.5,"","Q",-45.02,168.4
"189",189,190,0,"3","Turcin, Mr. Stjepan","male",36,0,0,"349247",7.8958,"","S",50.55,1.25
"190",190,191,1,"2","Pinsky, Mrs. (Rosa)","female",32,0,0,"234604",13,"","S",50.55,1.25
"191",191,192,0,"2","Carbines, Mr. William","male",19,0,0,"28424",13,"","S",50.55,1.25
"192",192,193,1,"3","Andersen-Jensen, Miss. Carla Christine Nielsine","female",19,1,0,"350046",7.8542,"","S",50.55,1.25
"193",193,194,1,"2","Navratil, Master. Michel M","male",3,1,1,"230080",26,"F2","S",50.55,1.25
"194",194,195,1,"1","Brown, Mrs. James Joseph (Margaret Tobin)","female",44,0,0,"PC 17610",27.7208,"B4","C",49.39,1.38
"195",195,196,1,"1","Lurette, Miss. Elise","female",58,0,0,"PC 17569",146.5208,"B80","C",49.39,1.38
"196",196,197,0,"3","Mernagh, Mr. Robert","male",29.6420927,0,0,"368703",7.75,"","Q",-45.02,168.4
"197",197,198,0,"3","Olsen, Mr. Karl Siegwart Andreas","male",42,0,1,"4579",8.4042,"","S",50.55,1.25
"198",198,199,1,"3","Madigan, Miss. Margaret ""Maggie""","female",29.6420927,0,0,"370370",7.75,"","Q",-45.02,168.4
"199",199,200,0,"2","Yrois, Miss. Henriette (""Mrs Harbeck"")","female",24,0,0,"248747",13,"","S",50.55,1.25
"200",200,201,0,"3","Vande Walle, Mr. Nestor Cyriel","male",28,0,0,"345770",9.5,"","S",50.55,1.25
"201",201,202,0,"3","Sage, Mr. Frederick","male",29.6420927,8,2,"CA. 2343",69.55,"","S",50.55,1.25
"202",202,203,0,"3","Johanson, Mr. Jakob Alfred","male",34,0,0,"3101264",6.4958,"","S",50.55,1.25
"203",203,204,0,"3","Youseff, Mr. Gerious","male",45.5,0,0,"2628",7.225,"","C",49.39,1.38
"204",204,205,1,"3","Cohen, Mr. Gurshon ""Gus""","male",18,0,0,"A/5 3540",8.05,"","S",50.55,1.25
"205",205,206,0,"3","Strom, Miss. Telma Matilda","female",2,0,1,"347054",10.4625,"G6","S",50.55,1.25
"206",206,207,0,"3","Backstrom, Mr. Karl Alfred","male",32,1,0,"3101278",15.85,"","S",50.55,1.25
"207",207,208,1,"3","Albimona, Mr. Nassef Cassem","male",26,0,0,"2699",18.7875,"","C",49.39,1.38
"208",208,209,1,"3","Carr, Miss. Helen ""Ellen""","female",16,0,0,"367231",7.75,"","Q",-45.02,168.4
"209",209,210,1,"1","Blank, Mr. Henry","male",40,0,0,"112277",31,"A31","C",49.39,1.38
"210",210,211,0,"3","Ali, Mr. Ahmed","male",24,0,0,"SOTON/O.Q. 3101311",7.05,"","S",50.55,1.25
"211",211,212,1,"2","Cameron, Miss. Clear Annie","female",35,0,0,"F.C.C. 13528",21,"","S",50.55,1.25
"212",212,213,0,"3","Perkin, Mr. John Henry","male",22,0,0,"A/5 21174",7.25,"","S",50.55,1.25
"213",213,214,0,"2","Givard, Mr. Hans Kristensen","male",30,0,0,"250646",13,"","S",50.55,1.25
"214",214,215,0,"3","Kiernan, Mr. Philip","male",29.6420927,1,0,"367229",7.75,"","Q",-45.02,168.4
"215",215,216,1,"1","Newell, Miss. Madeleine","female",31,1,0,"35273",113.275,"D36","C",49.39,1.38
"216",216,217,1,"3","Honkanen, Miss. Eliina","female",27,0,0,"STON/O2. 3101283",7.925,"","S",50.55,1.25
"217",217,218,0,"2","Jacobsohn, Mr. Sidney Samuel","male",42,1,0,"243847",27,"","S",50.55,1.25
"218",218,219,1,"1","Bazzani, Miss. Albina","female",32,0,0,"11813",76.2917,"D15","C",49.39,1.38
"219",219,220,0,"2","Harris, Mr. Walter","male",30,0,0,"W/C 14208",10.5,"","S",50.55,1.25
"220",220,221,1,"3","Sunderland, Mr. Victor Francis","male",16,0,0,"SOTON/OQ 392089",8.05,"","S",50.55,1.25
"221",221,222,0,"2","Bracken, Mr. James H","male",27,0,0,"220367",13,"","S",50.55,1.25
"222",222,223,0,"3","Green, Mr. George Henry","male",51,0,0,"21440",8.05,"","S",50.55,1.25
"223",223,224,0,"3","Nenkoff, Mr. Christo","male",29.6420927,0,0,"349234",7.8958,"","S",50.55,1.25
"224",224,225,1,"1","Hoyt, Mr. Frederick Maxfield","male",38,1,0,"19943",90,"C93","S",50.55,1.25
"225",225,226,0,"3","Berglund, Mr. Karl Ivar Sven","male",22,0,0,"PP 4348",9.35,"","S",50.55,1.25
"226",226,227,1,"2","Mellors, Mr. William John","male",19,0,0,"SW/PP 751",10.5,"","S",50.55,1.25
"227",227,228,0,"3","Lovell, Mr. John Hall (""Henry"")","male",20.5,0,0,"A/5 21173",7.25,"","S",50.55,1.25
